Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude,Protocol,Packet Length,Packet Type,Traffic Type,Anomaly Scores,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Log Source
2022/1/8 12:20,196.71.113.100,82.48.172.177,57422,2685,40.42,-3.7,-33.93,18.42,ICMP,840,Control,HTTP,59.79393669,DDoS,Known Pattern A,Logged,Medium,Cynthia Dickson,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_9 rv:5.0; hne-IN) AppleWebKit/535.28.7 (KHTML, like Gecko) Version/4.1 Safari/535.28.7",Segment A,"Cape Town, South Africa",Firewall
2022/9/19 22:10,64.111.165.5,72.101.67.8,16795,1769,-33.87,151.21,60.17,24.94,UDP,1433,Control,DNS,65.31228784,Malware,Known Pattern A,Blocked,High,Sara Johnston,Mozilla/5.0 (Windows NT 5.01; km-KH; rv:1.9.0.20) Gecko/2014-06-07 03:37:33 Firefox/3.6.7,Segment A,"Helsinki, Finland",Server
2020/10/30 3:00,82.74.123.1,20.111.149.50,1860,60735,22.31,114.16,37.57,126.98,UDP,628,Control,FTP,52.41719823,Malware,Known Pattern A,Blocked,Low,Morgan Powers,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; sv-FI) AppleWebKit/534.22.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6534.22.3",Segment A,"Seoul, South Korea",Server
2022/4/11 14:36,129.92.145.199,54.208.193.4,39158,63955,37.57,126.98,52.52,13.41,ICMP,961,Control,HTTP,74.8410615,Malware,Known Pattern A,Blocked,Medium,David Pineda,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/4.1),Segment A,"Berlin, Germany",Firewall
2020/5/14 14:48,182.201.145.186,139.88.7.91,63570,57101,1.35,103.82,-27.47,153.03,UDP,1427,Control,DNS,55.57539179,Malware,Known Pattern A,Ignored,Low,Paula Thomas,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.43.1 (KHTML, like Gecko) Version/5.0.1 Safari/533.43.1",Segment C,"Brisbane, Australia",Server
2020/11/17 5:56,212.167.234.113,29.181.237.203,55343,3433,35.68,139.76,47.5,19.04,ICMP,155,Control,HTTP,74.04717729,Malware,Known Pattern A,Blocked,Low,John Rivas,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/3.0),Segment A,"Budapest, Hungary",Server
2023/2/4 13:05,62.215.236.159,156.93.242.100,45732,6311,40.71,-74.01,41.01,28.98,ICMP,1454,Control,HTTP,69.50270045,DDoS,Known Pattern A,Ignored,High,Joseph Abbott,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/4.0),Segment B,"Istanbul, Turkey",Server
2021/3/8 20:13,210.163.158.40,108.208.17.201,12284,38819,50.08,14.44,23.11,-82.37,TCP,1019,Control,HTTP,41.46154719,DDoS,Known Pattern B,Logged,Medium,Mary Johnson,Mozilla/5.0 (Android 4.3.1; Mobile; rv:10.0) Gecko/10.0 Firefox/10.0,Segment B,"Havana, Cuba",Firewall
2022/8/27 10:28,109.76.165.29,45.15.128.243,55886,40188,41.38,2.17,40.71,-74.01,ICMP,572,Data,HTTP,16.67870815,DDoS,Known Pattern A,Ignored,High,Heather Gregory,Opera/9.19.(Windows NT 10.0; bg-BG) Presto/2.9.172 Version/10.00,Segment B,"New York, USA",Firewall
2020/4/13 1:02,71.49.248.51,56.196.106.196,7265,18568,41.38,2.17,55.68,12.57,TCP,839,Control,FTP,35.95727765,Malware,Known Pattern B,Blocked,High,Kenneth Wyatt,"Mozilla/5.0 (Linux; Android 4.0.4) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/15.0.821.0 Safari/534.2",Segment C,"Copenhagen, Denmark",Server
2020/6/11 3:49,28.246.129.51,215.210.61.23,17850,54707,52.52,13.41,-12.04,-77.03,ICMP,98,Data,HTTP,56.81888769,Malware,Known Pattern A,Logged,Medium,Kenneth Nelson,Opera/8.52.(X11; Linux x86_64; gez-ER) Presto/2.9.173 Version/10.00,Segment A,"Lima, Peru",Firewall
2024/4/5 8:39,95.103.213.160,179.57.231.81,63678,20769,-27.47,153.03,-6.21,106.85,ICMP,269,Control,HTTP,56.61456496,Malware,Known Pattern A,Logged,Low,Amanda Green,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; sl-SI) AppleWebKit/532.19.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6532.19.6",Segment A,"Jakarta, Indonesia",Firewall
